SKU,DESCRIPTCION
000010,HARINA DE TRIGO LEUDANTE BLANCAFLOR 1 KG
000019,HARINA DE TRIGO RONCO LEUDANTE 1KG
000056,FRIJOL BAYO  VENELA 500G
000010,HARINA DE TRIGO LEUDANTE BLANCAFLOR 1 KG
000019,HARINA DE TRIGO RONCO LEUDANTE 1KG
000056,FRIJOL BAYO  VENELA 500G
000082,PASTA SINDONI PREMIUM MACARRONES 500G
000149,INF. DULCES SUEÑOS MC CORMICK 20 UND
000156,INF. TE CON LIMON Y MIEL MC CORMICK 20 UND
000251,SARDINAS EN SALSA ITALIANA EL PEÑERO 170 GRS
000264,ATUN DESMENUZADO EN ACEITE DE SOYA DIPLOMATICO 170 GRS
000447,SALSA DE TOMATE KETCHUP TUTOMATE 385GR
000455,SALSA DE AJI PICANTE CHIRELITO 300ML
000577,IBERIA SWEET CANELA 100GR
000646,ADOBO COMPLETO OLYMPIA 185GR
000648,COMINO MOLIDO OLYMPIA 20GR
000657,SALSA DE AJO DOÑA TITA 150 CC
000660,SALSA DE SOYA DOÑA TITA 150 CC
000663,SALSA INGLESA DOÑA TITA 150 CC
000674,SALSA DE AJO IBERIA 3.7 LT
000703,SALSA INGLESA MC CORMICK 150 ML
000714,SAL GRUESAS PARA CARNES MC CORMICK 121 GRS
000719,VINAGRE DOÑA TITA 1 LT
000762,IBERIA CUBITO PAELLA 144GR 12UND
000765,SABROSEADOR COMPLETO IBERIA 180GR
000767,KNORR CALDO D/POLLO 12UND
000768,KNORR CUBITO D/POLLO 8UND 
000771,CUBITO UNIDAD GRANEL
000772,MAGGI SAZONATODO 35 GRS
000775,SABROSEADOR SOBRE MANANTIAL 40 GRS
000783,PAN BLANCO SUPERIOR BIMBO 680 GRS
000784,PAN UVAS PASAS Y MIEL BIMBO 650GR
000793,PAN HAMBURGUESA BIMBO 400 GRS
000800,PAN HAMBURGUESA ARTESANAL LOS JUANES 8 UND
000808,TORTILLAS RAPIDITAS CLASICAS BIMBO 220 GRS.                                                                  
000813,CASABE DON FAUSTO 1 TORTA
000817,BARRA DE AVENA AVELINA DULCE DE LECHE 6UND
000819,BARRA DE AVENA AVELINA PINA 6UND
000823,AVELINA GRANOLA MIEL Y PASAS 250GR
000828,FLIPS CHOCOFUDGE 50 GRS
000833,FLIPS DULCE DE LECHE 120 GRS
000838,CORN FLAKES KELLOGS 230 GRS 
000842,KELLOGGS ZUCARITAS 250 GRS 
000847,MINI KRAKIN FLAKES SURTIDOS 100GRS
000857,CHOCO AZUCARADAS MAIZORITOS 240 GRS
000863,POP CRONCH CHOCOLATE LONCH MAIZORITOS 6*20 GRS
000882,AVELINA AVENA INSTANTANEA 800 GRS
000884,AVENA TRADICIONAL AVELINA 250 GRS
000885,AVELINA AVENA TRADICIONAL 400 GRS
000886,AVENA TRADICIONAL AVELINA 800 GRS
000900,LECHE POLVO COMPL CAMPESTRE 125G
000903,LECHE POLVO EXTR CALCIO CAMPESTRE 1KG
000905,NESTLE FORTICRECE LECHE NIDO 800 GRS
000906,LECHE EN POLVO DOBON  400 GRS
000908,LECHE EN POLVO  LA CAMPESINA 800 GRS
000909,LECHE EN POLVO LA CAMPIÑA  500 GRS
000911,JUGUETES C/DETALLES UND
000916,CHICHA INSTANTÁNEA CAMPESTRE 400GR
000917,MEZCLA PARA CHICHA EL CHICHERO 500 GRS
000923,BEBIDA LACTEA MERENGON DE MANTECADO KIANA 400 GRS
000927,LACTOVISOY LACTOKIANA 500 GRS
000930,ALIMENTO LACTEO LECHELAC LUMALAC 1 KG
000935,CHICHA CHICHALAC BOLSA LUMALAC 500 GRS                                                                              
000938,RICA CHICHA FORTIFICADO 400 GRS
000953,LACTOLAC BOLSA 500 GR
000964,HEINZ COMPOTA CIRUELA PASAS 113 GRS
000965,HEINZ POUCH COMPOTA FRUTAS MIXTAS  113GR
000967,HEINZ POUCH COMPOTA MELOCOTON 113 GRS
000968,HEINZ POUCH COMPOTA PERA 113 GRS
000969,HEINZ POUCH COMPOTA POSTRE D/FRUTAS  113GR
000975,CREMA DE ARROZ MARY 200 GRS
000981,CERELAC 900 GRS
000982,NESTUM DE TRIGO Y MIEL NESTLE 225 GRS
000983,NESTUM 3 CEREALES NESTLE 225 GRS
000984,CERELAC 400 GRS
000985,CERELAC SACHET 100 GRS
000986,NESTUM DE ARROZ Y MAIZ NESTLE 225 GRS
001008,LINAZA SOBRE MANANTIAL 20 GRS
001021,JACKER PAPAS CHEESE 75 GRS
001029,CHICHARRON PICANTE 21 GRS MUNCHY 
001036,PAPAS PUNCH C/SAL MARINA MUNCHY 25 GRS
001040,TOCINETIKA PICANTE  MUNCHY 16 GRS
001056,PAPAS RUFFLE ORIGINAL PEPSICO 36 GRS
001064,TOSTITO ORIGINAL PEPSICO 400 GRS
001068,PAPAS PRINGLES PIZZA 158 GRS
